host_id,host_name,latitude,longitude,accommodates,beds,minimum_nights,number_of_reviews,review_scores_rating,room_type,neighbourhood_cleansed,price
836168,Henry,40.75455,-73.98123,6,3,30,4,5,Entire home/apt,Midtown,2000.00
476343659,Mary,40.75552,-73.99347,6,3,30,0,,Entire home/apt,Hell's Kitchen,2000.00
9419684,Churchill,40.7526,-73.96723,6,3,90,0,,Entire home/apt,Midtown,2000.00
30283594,Global Luxury Suites,40.7526,-73.96723,6,3,90,0,,Entire home/apt,Midtown,2000.00
242793278,Ruslan,40.58955,-73.93769,8,3,30,0,,Entire home/apt,Sheepshead Bay,2000.00
136300414,Gonzalo,40.75706,-73.89671,8,7,30,82,4.96,Entire home/apt,East Elmhurst,2000.00
1273890,Sergio,40.8501,-73.93749,7,3,30,6,4.83,Entire home/apt,Washington Heights,2000.00
416552167,Jesse,40.67777,-73.99963,9,7,30,0,,Entire home/apt,Carroll Gardens,2000.00
62954695,Amalia,40.74253,-73.98818,6,4,30,3,5,Entire home/apt,Flatiron District,2000.00
1031900,Suraj,40.72943,-73.98116,8,3,30,12,4.83,Entire home/apt,East Village,2000.00
345162226,Avery Mark,40.75391976,-73.99558256,7,3,30,0,,Entire home/apt,Hell's Kitchen,2000.00
41202903,Crystal,40.75312,-74.00346,6,4,30,3,5,Entire home/apt,Chelsea,2000.00
464060867,Rocky,40.76301,-73.99031,8,4,30,73,4.97,Entire home/apt,Hell's Kitchen,2000.00
61292179,Roni,40.89802,-73.91187,12,6,30,0,,Entire home/apt,Riverdale,2000.00
56663545,Stefania,40.72529,-73.88374,2,1,30,0,,Entire home/apt,Elmhurst,2000.00
6547579,Josh,40.72693,-73.98902,2,1,30,20,4.25,Entire home/apt,East Village,1999.00
303719667,Chris,40.75152,-73.97227,6,4,30,0,,Entire home/apt,Midtown,1999.00
496932087,Reservations,40.75632,-73.95614,2,1,1,0,,Private room,Roosevelt Island,1999.00
496932087,Reservations,40.75515,-73.95551,2,1,1,0,,Private room,Roosevelt Island,1999.00
7853599,Natalie,40.77978,-73.98493,1,1,30,0,,Private room,Upper West Side,1999.00
96863104,David,40.7521634,-73.9842196,16,1,30,0,,Entire home/apt,Midtown,1989.00
340938089,Citadines,40.75705,-73.97909,2,1,1,377,4.43,Private room,Midtown,1953.00
465579714,Eduard,40.74073,-73.99218,16,1,30,0,,Entire home/apt,Flatiron District,1950.00
107434423,Blueground,40.7244877,-74.0013492,6,3,31,0,,Entire home/apt,SoHo,1947.00
496944100,RoomPicks,40.71866117,-73.99952051,16,8,1,0,,Private room,SoHo,1920.00
496944100,RoomPicks,40.71910216,-74.00105721,16,8,1,0,,Private room,SoHo,1920.00
496944100,RoomPicks,40.7210014,-74.00094751,16,8,1,0,,Private room,SoHo,1920.00
496932087,Reservations,40.78134684,-73.9798656,12,6,1,0,,Private room,Upper West Side,1919.00
496932087,Reservations,40.78319,-73.97939,16,8,1,0,,Private room,Upper West Side,1919.00
465579714,Eduard,40.71749,-73.94933,16,1,30,0,,Entire home/apt,Williamsburg,1900.00
482750107,Lynn,40.73109,-74.00606,8,4,30,10,5,Entire home/apt,West Village,1900.00
24761711,Aron,40.64596,-73.97462,10,7,30,15,5,Entire home/apt,Kensington,1895.00
326084746,Suiteness,40.759431,-73.974949,8,4,1,0,,Private room,Midtown,1892.00
541249107,Kasa,40.72040987,-73.99047353,8,12,3,0,,Entire home/apt,Lower East Side,1885.00
23533897,Fatou,40.67411,-73.95146,12,9,1,3,5,Entire home/apt,Crown Heights,1870.00
28656622,Elisa,40.76259,-73.97507,4,2,1,13,4.92,Private room,Midtown,1857.00
326084746,Suiteness,40.752839,-73.98095,2,1,1,0,,Private room,Midtown,1852.00
465579714,Eduard,40.71808,-73.99609,16,1,30,0,,Entire home/apt,Chinatown,1850.00
465579714,Eduard,40.71665,-73.99767,16,1,30,0,,Entire home/apt,Chinatown,1850.00
465579714,Eduard,40.72302,-73.95287,16,1,30,0,,Entire home/apt,Greenpoint,1850.00
480704914,Ray,40.66972814,-73.93111219,16,13,1,0,,Entire home/apt,Crown Heights,1844.00
262985820,48Lex,40.7553,-73.97288,2,2,1,0,,Private room,Midtown,1820.00
481452777,Jude,40.8174733,-73.9441909,16,21,1,1,5,Entire home/apt,Harlem,1815.00
260618374,The Knickerbocker,40.75544,-73.98837,4,2,1,5,4.8,Hotel room,Theater District,1808.00
496932087,Reservations,40.71631324,-74.00801387,8,4,1,0,,Private room,Tribeca,1800.00
496932087,Reservations,40.71405198,-74.00882088,8,4,1,0,,Private room,Tribeca,1800.00
49186997,Joseph,40.73191,-73.99558,7,3,30,1,4,Entire home/apt,Greenwich Village,1800.00
38920716,Hamad,40.70635,-73.74056,2,1,31,223,4.77,Entire home/apt,Queens Village,1800.00
321519461,Eva,40.8532205,-73.9349259,9,10,30,0,,Entire home/apt,Washington Heights,1800.00
550729614,Tiana,40.81818,-73.94336,14,,30,0,,Entire home/apt,Harlem,1799.00
326084746,Suiteness,40.752839,-73.98095,6,2,1,0,,Private room,Midtown,1770.00
501999278,RoomPicks,40.7603639,-73.98251831,9,6,1,0,,Hotel room,Theater District,1760.00
263670476,Algerchaabi,40.63335,-74.02893,4,1,30,0,,Entire home/apt,Bay Ridge,1750.00
517401760,Ruth,40.76396,-73.99137,6,4,3,0,,Entire home/apt,Hell's Kitchen,1750.00
458818439,Lillian,40.76658923,-73.99080432,6,3,30,2,5,Entire home/apt,Hell's Kitchen,1750.00
44837740,David,40.75474,-73.99072,16,1,30,4,5,Entire home/apt,Midtown,1750.00
326084746,Suiteness,40.75284,-73.98095,6,2,1,0,,Private room,Midtown,1749.00
107434423,Blueground,40.7773147,-73.9631215,6,3,31,0,,Entire home/apt,Upper East Side,1729.00
290177147,Zelloo,40.7573023,-73.98273145,8,4,30,0,,Entire home/apt,Theater District,1728.00
290177147,Zelloo,40.75744,-73.98287,8,4,30,0,,Entire home/apt,Theater District,1728.00
436960239,Drin,40.72723,-74.00105,16,1,30,0,,Entire home/apt,SoHo,1700.00
252866861,UrbanDomus,40.76496649,-73.96242274,6,3,31,0,,Entire home/apt,Upper East Side,1700.00
326084746,Suiteness,40.7634381,-73.9805361,3,1,1,0,,Private room,Midtown,1693.00
4751930,Martin,40.72694,-73.98173,10,4,30,33,4.76,Entire home/apt,East Village,1693.00
4874700,Eli,40.72639,-73.94652,7,6,30,19,4.74,Entire home/apt,Greenpoint,1656.00
326084746,Suiteness,40.752839,-73.98095,4,2,1,0,,Private room,Midtown,1648.00
499229550,Charlie,40.76376643,-73.96516108,10,7,30,0,,Entire home/apt,Upper East Side,1643.00
257606572,Daniel,40.79784888,-73.94756558,9,4,30,4,4.5,Entire home/apt,East Harlem,1636.00
496944100,RoomPicks,40.72096207,-73.99944258,8,2,1,0,,Private room,SoHo,1626.00
496944100,RoomPicks,40.72032695,-73.99920544,8,2,1,0,,Private room,SoHo,1626.00
496944100,RoomPicks,40.72098979,-73.99918434,8,2,1,0,,Private room,SoHo,1626.00
496932087,Reservations,40.76396579,-73.97417725,8,4,1,0,,Private room,Midtown,1622.00
496932087,Reservations,40.76553308,-73.97622549,2,1,1,0,,Private room,Midtown,1613.00
496932087,Reservations,40.76364076,-73.9757628,2,1,1,0,,Private room,Midtown,1613.00
25138314,RoomPicks By Antony,40.76352,-73.97899,8,2,30,0,,Private room,Midtown,1609.00
25138314,RoomPicks By Antony,40.76172239,-73.97873828,8,2,30,0,,Private room,Midtown,1609.00
25138314,RoomPicks By Antony,40.76159747,-73.98042145,8,2,30,0,,Private room,Theater District,1609.00
15688520,Alex,40.7261,-73.97964,8,5,30,118,4.96,Entire home/apt,East Village,1600.00
147814925,Lloyd,40.73311,-73.99372,8,3,30,7,4.86,Entire home/apt,Greenwich Village,1600.00
66640174,E.C.,40.73144,-74.0094,5,3,30,59,4.37,Entire home/apt,West Village,1600.00
47475013,Hamilton,40.75442682,-73.97149793,4,2,3,0,,Entire home/apt,Midtown,1599.00
496932087,Reservations,40.78111,-73.97949,8,4,1,0,,Private room,Upper West Side,1599.00
496932087,Reservations,40.78170626,-73.98148091,8,4,1,0,,Private room,Upper West Side,1599.00
107434423,Blueground,40.7604361,-73.968523,10,5,31,0,,Entire home/apt,Midtown,1597.00
71276635,Joe,40.83386,-73.94208,16,11,1,7,4.43,Shared room,Washington Heights,1596.00
16480700,Geo And Alex,40.75992,-73.99009,10,6,30,0,,Entire home/apt,Hell's Kitchen,1592.00
17775359,Rove,40.74100394,-74.00436095,10,5,30,0,,Entire home/apt,Chelsea,1588.00
79744902,Tamara,40.69845274,-73.92151327,16,1,30,0,,Entire home/apt,Bushwick,1577.00
224210149,Prince,40.74335,-73.97281,2,3,30,0,,Entire home/apt,Kips Bay,1575.00
44837740,David,40.75451,-73.98897,16,1,30,2,4.5,Entire home/apt,Midtown,1571.00
53369411,Catherine,40.72477417,-73.9495782,8,4,30,0,,Entire home/apt,Greenpoint,1560.00
465579714,Eduard,40.69884,-73.97665,16,1,30,0,,Entire home/apt,Navy Yard,1550.00
237947876,Elina,40.66296,-73.93161,4,,30,0,,Entire home/apt,East Flatbush,1550.00
136273956,Sam,40.72932,-73.99989,1,1,30,0,,Private room,Greenwich Village,1550.00
326084746,Suiteness,40.759431,-73.974949,4,1,1,0,,Private room,Midtown,1513.00
496944100,RoomPicks,40.75556849,-73.98103752,6,3,1,0,,Private room,Midtown,1505.00
496944100,RoomPicks,40.75523414,-73.98287256,6,3,1,0,,Private room,Midtown,1505.00
496944100,RoomPicks,40.75698616,-73.98260134,6,3,1,0,,Private room,Theater District,1505.00
392591606,Michael,40.67987,-73.96389,10,1,30,0,,Entire home/apt,Crown Heights,1502.00
46941561,Maria,40.76169,-73.96269,2,1,90,28,4.43,Entire home/apt,Upper East Side,1500.00
11460768,Brian,40.80187,-73.96054,6,4,30,0,,Entire home/apt,Morningside Heights,1500.00
153156992,Sebastian,40.72368,-74.00409,4,2,30,16,5,Entire home/apt,SoHo,1500.00
376877842,Ink48 Hotel,40.7645758,-73.99595,2,1,1,0,,Private room,Hell's Kitchen,1500.00
515456101,Elle,40.76698,-73.96099,5,4,30,0,,Entire home/apt,Upper East Side,1500.00
88988332,Dorothea,40.68933,-73.99572,4,4,30,0,,Private room,Cobble Hill,1500.00
356290430,Peter,40.69285,-73.9461,1,,30,0,,Private room,Bedford-Stuyvesant,1500.00
135943556,Markel,40.6897,-73.92393,2,1,31,0,,Entire home/apt,Bedford-Stuyvesant,1500.00
683230,Thomas,40.76727,-73.95778,14,9,30,35,5,Entire home/apt,Upper East Side,1500.00
138016927,Bening,40.70634,-74.00361,1,,30,0,,Private room,Financial District,1500.00
129772930,Andi,40.72749,-73.95069,6,4,30,8,4.63,Entire home/apt,Greenpoint,1500.00
16214808,Emir,40.73517289,-74.00992412,4,2,30,11,4.55,Entire home/apt,West Village,1500.00
2622925,Kathrin,40.72017,-74.0024,6,4,30,0,,Entire home/apt,SoHo,1500.00
60535711,Bruce,40.76154,-73.9745,4,2,2,25,5,Private room,Midtown,1500.00
31796843,Jack,40.7659449,-73.98679223,4,2,30,0,,Entire home/apt,Hell's Kitchen,1500.00
159355723,Outsite,40.74736,-73.97932,12,9,30,2,3.5,Entire home/apt,Murray Hill,1500.00
37435755,Ryan,40.70109,-73.9193,2,1,30,10,4.1,Private room,Bushwick,1500.00
26556695,Justin And Alyssa,40.76239,-73.97498,4,1,1,33,5,Private room,Midtown,1499.00
26556695,Justin And Alyssa,40.76034,-73.97517,4,1,1,9,5,Private room,Midtown,1499.00
65923548,Stephen,40.73896,-73.98943,16,,30,2,5,Entire home/apt,Gramercy,1495.00
2521127,Rick,40.76797,-73.98513,8,4,30,5,5,Entire home/apt,Hell's Kitchen,1495.00
